index,close_time,transaction_id,positions,LUNCUSDT_units,ATOMUSDT_units,entry_LUNCUSDT_price,entry_ATOMUSDT_price,historical_LUNCUSDT_mid,historical_ATOMUSDT_mid,historical_LUNCUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LUNCUSDT_raw_pnl,ATOMUSDT_raw_pnl,LUNCUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1196.0,2023-01-21 07:48:59.999,,,0.0,0.0,,,0.000180825,13.3395,113949361.75,427.08,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1197.0,2023-01-21 07:49:59.999,,,0.0,0.0,,,0.00018086,13.3375,19838880.33,545.75,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1198.0,2023-01-21 07:50:59.999,,,0.0,0.0,,,0.00018089,13.332,35890584.01,587.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1199.0,2023-01-21 07:51:59.999,,,0.0,0.0,,,0.00018091,13.336,34389409.76,751.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1200.0,2023-01-21 07:52:59.999,,,0.0,0.0,,,0.000180835,13.3255,67034380.03,1443.0,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1201.0,2023-01-21 07:53:59.999,,,0.0,0.0,,,0.00018064,13.3005,66667668.43,2235.02,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1202.0,2023-01-21 07:54:59.999,,,0.0,0.0,,,0.00018069,13.2815,30598110.49,1780.85,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1203.0,2023-01-21 07:55:59.999,,,0.0,0.0,,,0.0001806399999999,13.2865,49144663.98,385.46,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1204.0,2023-01-21 07:56:59.999,,,0.0,0.0,,,0.000180635,13.294,19760097.4,163.25,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1205.0,2023-01-21 07:57:59.999,,,0.0,0.0,,,0.000180605,13.2815,23067515.1,133.69,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1206.0,2023-01-21 07:58:59.999,,,0.0,0.0,,,0.000180635,13.282,41531247.04,420.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1207.0,2023-01-21 07:59:59.999,,,0.0,0.0,,,0.00018081,13.2905,62128055.64,837.16,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1208.0,2023-01-21 08:00:59.999,,,0.0,0.0,,,0.0001808399999999,13.2975,52288676.43,1034.42,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1209.0,2023-01-21 08:01:59.999,,,0.0,0.0,,,0.00018103,13.316,74283527.0,1342.51,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1210.0,2023-01-21 08:02:59.999,,,0.0,0.0,,,0.000181445,13.319,242141738.05,981.48,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1211.0,2023-01-21 08:03:59.999,,,0.0,0.0,,,0.00018166,13.325,158096621.81,438.96,4.0,10000,0,0,0,0,0,0,0,0.0,0.0
1212.0,2023-01-21 08:04:59.999,,,0.0,0.0,,,0.0001815,13.327,51793115.53,962.45,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1213.0,2023-01-21 08:05:59.999,,,0.0,0.0,,,0.000181445,13.331499999999998,67461671.48,490.84,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1214.0,2023-01-21 08:06:59.999,,,0.0,0.0,,,0.000181335,13.333,50793157.56,369.64,3.0,10000,0,0,0,0,0,0,0,0.0,0.0
1215.0,2023-01-21 08:07:59.999,,,0.0,0.0,,,0.0001813599999999,13.337,100098356.94,725.84,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1216.0,2023-01-21 08:08:59.999,,,0.0,0.0,,,0.000181405,13.343,176029473.57,515.74,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1217.0,2023-01-21 08:09:59.999,,,0.0,0.0,,,0.00018134,13.347,48975077.95,458.64,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1218.0,2023-01-21 08:10:59.999,,,0.0,0.0,,,0.00018122,13.347,86315199.37,2729.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1219.0,2023-01-21 08:11:59.999,,,0.0,0.0,,,0.0001811599999999,13.33,64893119.18,824.25,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1220.0,2023-01-21 08:12:59.999,,,0.0,0.0,,,0.000181375,13.338,93247535.37,1345.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1221.0,2023-01-21 08:13:59.999,,,0.0,0.0,,,0.000181345,13.341,102465144.46,104.54,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1222.0,2023-01-21 08:14:59.999,,,0.0,0.0,,,0.0001816,13.3435,78836763.47,412.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1223.0,2023-01-21 08:15:59.999,,,0.0,0.0,,,0.00018129,13.331499999999998,25193457.7,532.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1224.0,2023-01-21 08:16:59.999,,,0.0,0.0,,,0.00018123,13.316,94615230.58,984.02,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1225.0,2023-01-21 08:17:59.999,,,0.0,0.0,,,0.000181295,13.327,60797379.94,185.06,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1226.0,2023-01-21 08:18:59.999,,,0.0,0.0,,,0.000181335,13.336,28490393.83,146.95,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1227.0,2023-01-21 08:19:59.999,,,0.0,0.0,,,0.0001813149999999,13.3355,22984563.3,390.97,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1228.0,2023-01-21 08:20:59.999,,,0.0,0.0,,,0.000181235,13.3325,12779947.98,586.72,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1229.0,2023-01-21 08:21:59.999,,,0.0,0.0,,,0.000181075,13.322500000000002,20357722.65,645.81,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1230.0,2023-01-21 08:22:59.999,,,0.0,0.0,,,0.000181125,13.3145,33854408.16,146.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1231.0,2023-01-21 08:23:59.999,,,0.0,0.0,,,0.000181055,13.307,25058627.63,902.98,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1232.0,2023-01-21 08:24:59.999,,,0.0,0.0,,,0.000181085,13.303,33461193.53,136.35,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1233.0,2023-01-21 08:25:59.999,,,0.0,0.0,,,0.000181045,13.296,97495952.6,240.92,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1234.0,2023-01-21 08:26:59.999,,,0.0,0.0,,,0.0001809399999999,13.2825,301535211.5,2590.13,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1235.0,2023-01-21 08:27:59.999,,,0.0,0.0,,,0.000180815,13.275,32498767.88,698.05,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
