index,close_time,transaction_id,positions,ETHUSDT_units,MATICUSDT_units,entry_ETHUSDT_price,entry_MATICUSDT_price,historical_ETHUSDT_mid,historical_MATICUSDT_mid,historical_ETHUSDT_vol,historical_MATICUSDT_vol,signal,portfolio_value,ETHUSDT_raw_pnl,MATICUSDT_raw_pnl,ETHUSDT_cost,MATICUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
972.0,2023-01-21 08:55:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1650.755,1.0207,102.4152,13875.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
973.0,2023-01-21 08:56:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1650.3,1.02,199.8982,25827.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
974.0,2023-01-21 08:57:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1649.595,1.0188,1312.4655,78121.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
975.0,2023-01-21 08:58:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1648.31,1.0165,889.8883,173530.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
976.0,2023-01-21 08:59:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1647.03,1.01535,607.7971,99428.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
977.0,2023-01-21 09:00:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1646.945,1.0153,220.1858,81036.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
978.0,2023-01-21 09:01:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1645.69,1.01215,440.1308,403444.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
979.0,2023-01-21 09:02:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1647.105,1.01385,278.4554,74174.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
980.0,2023-01-21 09:03:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1647.98,1.0151,155.4235,44623.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
981.0,2023-01-21 09:04:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1648.375,1.01585,168.8361,24023.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
982.0,2023-01-21 09:05:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1648.04,1.0154,122.5179,60683.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
983.0,2023-01-21 09:06:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1647.985,1.0158,559.3392,24873.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
984.0,2023-01-21 09:07:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1648.415,1.01655,58.4484,15932.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
985.0,2023-01-21 09:08:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1648.805,1.01725,281.8774,36402.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
986.0,2023-01-21 09:09:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1648.81,1.01735,212.778,25597.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
987.0,2023-01-21 09:10:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1648.88,1.01795,196.056,37875.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
988.0,2023-01-21 09:11:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1648.25,1.017,668.8019,98321.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
989.0,2023-01-21 09:12:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1647.49,1.01735,286.5469,15097.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
990.0,2023-01-21 09:13:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1646.645,1.01735,418.3698,36738.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
991.0,2023-01-21 09:14:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1646.505,1.0173,109.5061,15673.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
992.0,2023-01-21 09:15:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1647.12,1.0177,51.6562,42029.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
993.0,2023-01-21 09:16:59.999,1.0,long,0.3009736497569638,-467.6078525391737,1661.275,1.03745,1647.1,1.0176,104.674,44397.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
