index,close_time,transaction_id,positions,XRPUSDT_units,SANDUSDT_units,entry_XRPUSDT_price,entry_SANDUSDT_price,historical_XRPUSDT_mid,historical_SANDUSDT_mid,historical_XRPUSDT_vol,historical_SANDUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,SANDUSDT_raw_pnl,XRPUSDT_cost,SANDUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2765.0,2023-01-22 15:03:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4079,0.83815,105138.0,60490.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2766.0,2023-01-22 15:04:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40805,0.8367,222867.0,311116.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2767.0,2023-01-22 15:05:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40815,0.8377,415162.0,45692.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2768.0,2023-01-22 15:06:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4083,0.83765,439247.0,30019.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2769.0,2023-01-22 15:07:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40835,0.837,118448.0,53120.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2770.0,2023-01-22 15:08:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4082,0.834,178481.0,105095.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2771.0,2023-01-22 15:09:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40815,0.8331500000000001,213709.0,82572.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2772.0,2023-01-22 15:10:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4081,0.8342499999999999,153369.0,21735.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2773.0,2023-01-22 15:11:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4085999999999999,0.8360000000000001,285406.0,49773.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2774.0,2023-01-22 15:12:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4089,0.8363,224189.0,53223.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2775.0,2023-01-22 15:13:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4086499999999999,0.8368,188049.0,26340.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2776.0,2023-01-22 15:14:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4086999999999999,0.83685,86164.0,27037.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2777.0,2023-01-22 15:15:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4092,0.8369500000000001,247479.0,25990.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2778.0,2023-01-22 15:16:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4091,0.8363,179849.0,60954.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2779.0,2023-01-22 15:17:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40895,0.8363499999999999,188678.0,53494.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2780.0,2023-01-22 15:18:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4095,0.83945,152153.0,62610.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2781.0,2023-01-22 15:19:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4095999999999999,0.8371999999999999,208874.0,85423.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2782.0,2023-01-22 15:20:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40875,0.8375999999999999,354517.0,102303.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2783.0,2023-01-22 15:21:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4081,0.8348,274789.0,71895.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2784.0,2023-01-22 15:22:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40575,0.82775,1783094.0,330207.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2785.0,2023-01-22 15:23:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4039,0.8165,2464790.0,505113.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2786.0,2023-01-22 15:24:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.40375,0.8151999999999999,1769857.0,205284.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
2787.0,2023-01-22 15:25:59.999,4.0,long,1231.6787781746523,-148.27588982630542,0.40595,0.8435999999999999,0.4046,0.82195,1077834.0,214376.0,0.0,10008.828981700965,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0008828981700961247
