index,close_time,transaction_id,positions,LTCUSDT_units,LUNCUSDT_units,entry_LTCUSDT_price,entry_LUNCUSDT_price,historical_LTCUSDT_mid,historical_LUNCUSDT_mid,historical_LTCUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,LTCUSDT_raw_pnl,LUNCUSDT_raw_pnl,LTCUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2029.0,2023-01-22 00:22:59.999,1.0,,0.0,0.0,,,88.39500000000001,0.000181495,322.457,66894350.24,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2030.0,2023-01-22 00:23:59.999,1.0,,0.0,0.0,,,88.325,0.00018167,158.696,216032404.59,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2031.0,2023-01-22 00:24:59.999,1.0,,0.0,0.0,,,88.355,0.00018167,197.035,34503059.46,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2032.0,2023-01-22 00:25:59.999,1.0,,0.0,0.0,,,88.36500000000001,0.00018189,1125.722,222242753.35,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2033.0,2023-01-22 00:26:59.999,1.0,,0.0,0.0,,,88.4,0.000182155,704.395,82379665.6,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2034.0,2023-01-22 00:27:59.999,1.0,,0.0,0.0,,,88.42,0.000182175,107.388,26049694.83,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2035.0,2023-01-22 00:28:59.999,1.0,,0.0,0.0,,,88.465,0.000182225,391.833,27282804.33,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2036.0,2023-01-22 00:29:59.999,1.0,,0.0,0.0,,,88.43,0.00018207,250.944,106259096.66,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2037.0,2023-01-22 00:30:59.999,1.0,,0.0,0.0,,,88.4,0.000182115,151.391,47529559.86,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2038.0,2023-01-22 00:31:59.999,1.0,,0.0,0.0,,,88.28,0.00018198,201.28,31262757.16,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2039.0,2023-01-22 00:32:59.999,1.0,,0.0,0.0,,,88.2,0.00018173,301.692,12502126.04,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2040.0,2023-01-22 00:33:59.999,1.0,,0.0,0.0,,,88.16499999999999,0.000181495,440.682,104396837.45,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2041.0,2023-01-22 00:34:59.999,1.0,,0.0,0.0,,,88.25,0.0001817,107.085,67356874.91,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2042.0,2023-01-22 00:35:59.999,1.0,,0.0,0.0,,,88.225,0.0001818,196.995,39560123.69,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2043.0,2023-01-22 00:36:59.999,1.0,,0.0,0.0,,,88.19999999999999,0.00018182,238.886,39998228.04,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2044.0,2023-01-22 00:37:59.999,1.0,,0.0,0.0,,,88.155,0.00018195,780.071,38012968.85,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2045.0,2023-01-22 00:38:59.999,1.0,,0.0,0.0,,,88.16499999999999,0.0001821099999999,427.117,87684271.89,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2046.0,2023-01-22 00:39:59.999,1.0,,0.0,0.0,,,88.26499999999999,0.00018238,240.574,191114747.42,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2047.0,2023-01-22 00:40:59.999,1.0,,0.0,0.0,,,88.32499999999999,0.000182405,272.391,65100805.86,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
