index,close_time,transaction_id,positions,NEARUSDT_units,DOTUSDT_units,entry_NEARUSDT_price,entry_DOTUSDT_price,historical_NEARUSDT_mid,historical_DOTUSDT_mid,historical_NEARUSDT_vol,historical_DOTUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,DOTUSDT_raw_pnl,NEARUSDT_cost,DOTUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
983.0,2023-01-21 06:34:59.999,,,0.0,0.0,,,2.367,6.2255,11677.7,3007.22,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
984.0,2023-01-21 06:35:59.999,,,0.0,0.0,,,2.3685,6.2275,3334.1,2955.71,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
985.0,2023-01-21 06:36:59.999,,,0.0,0.0,,,2.3680000000000003,6.225,5925.5,1539.66,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
986.0,2023-01-21 06:37:59.999,,,0.0,0.0,,,2.3680000000000003,6.227,9102.7,1407.71,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
987.0,2023-01-21 06:38:59.999,,,0.0,0.0,,,2.3685,6.2335,4673.3,2116.25,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
988.0,2023-01-21 06:39:59.999,,,0.0,0.0,,,2.369,6.234999999999999,7192.6,2822.83,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
989.0,2023-01-21 06:40:59.999,,,0.0,0.0,,,2.3675,6.234500000000001,5088.2,2304.14,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
990.0,2023-01-21 06:41:59.999,,,0.0,0.0,,,2.3680000000000003,6.2345,12840.7,434.17,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
991.0,2023-01-21 06:42:59.999,,,0.0,0.0,,,2.371,6.238,25563.0,6261.97,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
992.0,2023-01-21 06:43:59.999,,,0.0,0.0,,,2.3755,6.238,29447.5,4950.81,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
993.0,2023-01-21 06:44:59.999,,,0.0,0.0,,,2.375,6.2395,7751.0,2444.5,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
994.0,2023-01-21 06:45:59.999,,,0.0,0.0,,,2.373,6.24,11508.4,2643.39,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
995.0,2023-01-21 06:46:59.999,,,0.0,0.0,,,2.3715,6.2405,14172.8,2383.05,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
996.0,2023-01-21 06:47:59.999,,,0.0,0.0,,,2.3695,6.238,8076.8,1172.36,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
997.0,2023-01-21 06:48:59.999,,,0.0,0.0,,,2.3655,6.231999999999999,1776.6,5202.52,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
998.0,2023-01-21 06:49:59.999,,,0.0,0.0,,,2.3745,6.23,116720.6,2801.6,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
999.0,2023-01-21 06:50:59.999,,,0.0,0.0,,,2.3875,6.242,56548.2,3766.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1000.0,2023-01-21 06:51:59.999,,,0.0,0.0,,,2.393,6.2490000000000006,42091.6,7083.54,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1001.0,2023-01-21 06:52:59.999,,,0.0,0.0,,,2.3925,6.2490000000000006,20732.4,1575.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1002.0,2023-01-21 06:53:59.999,,,0.0,0.0,,,2.394,6.2475000000000005,33166.1,890.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1003.0,2023-01-21 06:54:59.999,,,0.0,0.0,,,2.3975,6.2485,54885.5,2375.82,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1004.0,2023-01-21 06:55:59.999,,,0.0,0.0,,,2.3955,6.252,38135.2,6828.36,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
