index,close_time,transaction_id,positions,LTCUSDT_units,ATOMUSDT_units,entry_LTCUSDT_price,entry_ATOMUSDT_price,historical_LTCUSDT_mid,historical_ATOMUSDT_mid,historical_LTCUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LTCUSDT_raw_pnl,ATOMUSDT_raw_pnl,LTCUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1129.0,2023-01-21 09:22:59.999,,,0.0,0.0,,,89.86500000000001,13.262,286.791,2700.8,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1130.0,2023-01-21 09:23:59.999,,,0.0,0.0,,,89.85499999999999,13.2545,33.824,4667.66,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1131.0,2023-01-21 09:24:59.999,,,0.0,0.0,,,89.86500000000001,13.251,69.232,188.38,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1132.0,2023-01-21 09:25:59.999,,,0.0,0.0,,,89.84,13.244,78.169,893.7,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1133.0,2023-01-21 09:26:59.999,,,0.0,0.0,,,89.83,13.2335,159.171,4795.86,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1134.0,2023-01-21 09:27:59.999,,,0.0,0.0,,,89.86,13.228,148.855,2960.26,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1135.0,2023-01-21 09:28:59.999,,,0.0,0.0,,,89.925,13.256,74.57,10287.35,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1136.0,2023-01-21 09:29:59.999,,,0.0,0.0,,,89.905,13.268,35.944,383.28,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1137.0,2023-01-21 09:30:59.999,,,0.0,0.0,,,89.89,13.272,342.732,504.86,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1138.0,2023-01-21 09:31:59.999,,,0.0,0.0,,,89.905,13.284,61.757,2475.48,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1139.0,2023-01-21 09:32:59.999,,,0.0,0.0,,,89.89500000000001,13.296,147.356,439.79,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1140.0,2023-01-21 09:33:59.999,,,0.0,0.0,,,89.88,13.3015,114.081,1489.2,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1141.0,2023-01-21 09:34:59.999,,,0.0,0.0,,,89.87,13.3045,196.001,3799.57,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1142.0,2023-01-21 09:35:59.999,,,0.0,0.0,,,89.875,13.3075,51.028,656.13,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1143.0,2023-01-21 09:36:59.999,,,0.0,0.0,,,89.87,13.3115,15.34,1285.11,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1144.0,2023-01-21 09:37:59.999,,,0.0,0.0,,,89.91999999999999,13.322,58.945,576.49,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1145.0,2023-01-21 09:38:59.999,,,0.0,0.0,,,89.95500000000001,13.3285,120.837,1329.11,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1146.0,2023-01-21 09:39:59.999,,,0.0,0.0,,,89.86500000000001,13.33,1115.788,525.33,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1147.0,2023-01-21 09:40:59.999,,,0.0,0.0,,,89.875,13.3365,668.439,298.83,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1148.0,2023-01-21 09:41:59.999,,,0.0,0.0,,,89.86000000000001,13.335,400.435,2174.91,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
