index,close_time,transaction_id,positions,ETHUSDT_units,SHIBUSDT_units,entry_ETHUSDT_price,entry_SHIBUSDT_price,historical_ETHUSDT_mid,historical_SHIBUSDT_mid,historical_ETHUSDT_vol,historical_SHIBUSDT_vol,signal,portfolio_value,ETHUSDT_raw_pnl,SHIBUSDT_raw_pnl,ETHUSDT_cost,SHIBUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1352.0,2023-01-21 15:15:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1654.77,1.218e-05,170.829,2501200741.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1353.0,2023-01-21 15:16:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1655.83,1.218e-05,1002.5158,8112607492.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1354.0,2023-01-21 15:17:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1659.3200000000002,1.218e-05,5468.5674,23615878039.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1355.0,2023-01-21 15:18:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1658.3000000000002,1.219e-05,689.2383,7608742710.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1356.0,2023-01-21 15:19:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1658.34,1.22e-05,291.8593,2743203036.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1357.0,2023-01-21 15:20:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1656.9299999999998,1.22e-05,257.0372,4298631076.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1358.0,2023-01-21 15:21:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1657.29,1.221e-05,111.4819,2023583085.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1359.0,2023-01-21 15:22:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1657.095,1.2215e-05,234.0619,4895628664.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1360.0,2023-01-21 15:23:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1657.84,1.2215e-05,112.0794,2734894891.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1361.0,2023-01-21 15:24:59.999,1.0,long,0.3030505063973962,-33797853.5939543,1649.89,1.222e-05,1660.925,1.2215e-05,1109.441,10465852732.0,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
