index,close_time,transaction_id,positions,XRPUSDT_units,TRXUSDT_units,entry_XRPUSDT_price,entry_TRXUSDT_price,historical_XRPUSDT_mid,historical_TRXUSDT_mid,historical_XRPUSDT_vol,historical_TRXUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,TRXUSDT_raw_pnl,XRPUSDT_cost,TRXUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2083.0,2023-01-22 03:41:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4039,0.0608999999999999,77459.0,244854.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2084.0,2023-01-22 03:42:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40385,0.060915,17452.0,47944.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2085.0,2023-01-22 03:43:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40385,0.060925,20455.0,50006.8,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2086.0,2023-01-22 03:44:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4039,0.060965,17083.0,177481.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2087.0,2023-01-22 03:45:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4039,0.061,39141.0,40079.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2088.0,2023-01-22 03:46:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4041,0.061,784856.0,50431.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2089.0,2023-01-22 03:47:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40405,0.06098,188869.0,212253.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2090.0,2023-01-22 03:48:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.404,0.061005,18638.0,97892.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2091.0,2023-01-22 03:49:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4042,0.06106,8042.0,142606.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2092.0,2023-01-22 03:50:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40435,0.061065,103510.0,65285.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2093.0,2023-01-22 03:51:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40425,0.061065,29072.0,35081.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
