index,close_time,transaction_id,positions,LINKUSDT_units,ATOMUSDT_units,entry_LINKUSDT_price,entry_ATOMUSDT_price,historical_LINKUSDT_mid,historical_ATOMUSDT_mid,historical_LINKUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LINKUSDT_raw_pnl,ATOMUSDT_raw_pnl,LINKUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1896.0,2023-01-22 00:14:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8935,13.219,5293.77,579.33,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1897.0,2023-01-22 00:15:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.899,13.206,23018.4,891.91,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1898.0,2023-01-22 00:16:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.899,13.204,936.69,386.4,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1899.0,2023-01-22 00:17:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.885,13.1845,2521.66,902.0,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1900.0,2023-01-22 00:18:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8655,13.1725,13555.09,1650.83,2.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1901.0,2023-01-22 00:19:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8615,13.1615,3190.55,1284.56,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1902.0,2023-01-22 00:20:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8565000000000005,13.153,1614.33,276.64,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1903.0,2023-01-22 00:21:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.864000000000001,13.157,6013.23,905.36,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1904.0,2023-01-22 00:22:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.876,13.175,1887.6,2033.92,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1905.0,2023-01-22 00:23:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.884,13.1705,3025.66,239.21,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
